sku,category,product_name,description,msrp,wholesale_price,options
AB-RB-001,Road Bikes,Racer Pro,Professional-grade road bikes with advanced features,1872.0,1337.14,"{""colors"": [""ti2345"", ""fg3456""], ""sizes"": [""XL"", ""L"", ""XS""], ""weight"": ""15.6 lbs""}"
AB-RB-002,Road Bikes,Sprint Elite,Reliable road bikes for everyday use,4708.52,3363.23,"{""colors"": [""fg3456"", ""ti2345"", ""br7654""], ""sizes"": [""S"", ""L"", ""M"", ""XL""], ""weight"": ""31.2 lbs""}"
AB-RB-003,Road Bikes,Speedster Elite,Professional-grade road bikes with advanced features,2811.62,2008.3,"{""colors"": [""cr4321"", ""yl5678"", ""wh9001""], ""sizes"": [""L"", ""XS"", ""S""], ""weight"": ""31.9 lbs""}"
AB-RB-004,Road Bikes,Velocity Pro,Lightweight road bikes for competitive riding,3140.86,2243.47,"{""colors"": [""sv3456"", ""gr5432""], ""sizes"": [""XL"", ""S"", ""M"", ""XS""], ""weight"": ""15.9 lbs""}"
AB-RB-005,Road Bikes,Sprint Sport,High-quality road bikes for serious cyclists,1071.39,765.28,"{""colors"": [""gr5432"", ""gy6789"", ""ti2345"", ""yl5678"", ""rd7298""], ""sizes"": [""M"", ""S"", ""XL"", ""L""], ""weight"": ""29.0 lbs""}"
AB-RB-006,Road Bikes,Racer Deluxe,Professional-grade road bikes with advanced features,1359.29,970.92,"{""colors"": [""gy6789"", ""or8901"", ""gr5432""], ""sizes"": [""M"", ""XS"", ""L""], ""weight"": ""31.4 lbs""}"
AB-RB-007,Road Bikes,Swift Classic,Reliable road bikes for everyday use,1731.9,1237.07,"{""colors"": [""bl4567"", ""ti2345"", ""gy6789"", ""or8901""], ""sizes"": [""S"", ""M"", ""XS"", ""L""], ""weight"": ""29.9 lbs""}"
AB-RB-008,Road Bikes,Velocity Master,Reliable road bikes for everyday use,4319.69,3085.49,"{""colors"": [""yl5678"", ""bl4567"", ""rd7298"", ""sv3456"", ""gy6789""], ""sizes"": [""XS"", ""XL"", ""L""], ""weight"": ""27.5 lbs""}"
AB-RB-009,Road Bikes,Lightning Deluxe,Reliable road bikes for everyday use,913.28,652.34,"{""colors"": [""sv3456"", ""gr5432"", ""br7654"", ""bk1798"", ""ti2345""], ""sizes"": [""XL"", ""M"", ""L""], ""weight"": ""21.8 lbs""}"
AB-RB-010,Road Bikes,Velocity Classic,Durable road bikes built for performance,1323.27,945.19,"{""colors"": [""sv3456"", ""wh9001"", ""ti2345""], ""sizes"": [""XL"", ""S"", ""XS"", ""L""], ""weight"": ""30.3 lbs""}"
AB-RB-011,Road Bikes,Speedster Deluxe,High-quality road bikes for serious cyclists,2063.07,1473.62,"{""colors"": [""br7654"", ""ol4567"", ""cr4321"", ""gr5432""], ""sizes"": [""XS"", ""S"", ""M""], ""weight"": ""33.9 lbs""}"
AB-RB-012,Road Bikes,Racer Master,Reliable road bikes for everyday use,3610.92,2579.23,"{""colors"": [""rd7298"", ""ti2345"", ""gy6789""], ""sizes"": [""M"", ""L"", ""XS""], ""weight"": ""33.6 lbs""}"
AB-RB-013,Road Bikes,Sprint Master,Durable road bikes built for performance,1992.82,1423.44,"{""colors"": [""br7654"", ""sv3456"", ""gy6789"", ""wh9001"", ""bl4567""], ""sizes"": [""XS"", ""M"", ""XL""], ""weight"": ""26.8 lbs""}"
AB-RB-014,Road Bikes,Sprint Deluxe,High-quality road bikes for serious cyclists,1123.22,802.3,"{""colors"": [""wh9001"", ""bk1798"", ""yl5678""], ""sizes"": [""XL"", ""S"", ""L""], ""weight"": ""28.4 lbs""}"
AB-RB-015,Road Bikes,Sprint Deluxe,Reliable road bikes for everyday use,1444.06,1031.47,"{""colors"": [""bl4567"", ""cr4321"", ""gy6789"", ""or8901"", ""br7654""], ""sizes"": [""XS"", ""L"", ""S""], ""weight"": ""23.5 lbs""}"
AB-RB-016,Road Bikes,Turbo Master,High-quality road bikes for serious cyclists,1010.25,721.61,"{""colors"": [""or8901"", ""fg3456""], ""sizes"": [""XS"", ""S"", ""XL"", ""M""], ""weight"": ""25.7 lbs""}"
AB-RB-017,Road Bikes,Aero Classic,Professional-grade road bikes with advanced features,1244.78,889.13,"{""colors"": [""gy6789"", ""cr4321""], ""sizes"": [""XS"", ""XL"", ""L""], ""weight"": ""33.5 lbs""}"
AB-RB-018,Road Bikes,Sprint Elite,Professional-grade road bikes with advanced features,3055.88,2182.77,"{""colors"": [""br7654"", ""bk1798"", ""rd7298"", ""or8901"", ""ol4567""], ""sizes"": [""M"", ""L"", ""S"", ""XL""], ""weight"": ""28.9 lbs""}"
AB-RB-019,Road Bikes,Turbo Elite,High-quality road bikes for serious cyclists,1252.93,894.95,"{""colors"": [""fg3456"", ""yl5678""], ""sizes"": [""XS"", ""L"", ""M""], ""weight"": ""33.4 lbs""}"
AB-RB-020,Road Bikes,Aero Pro,Professional-grade road bikes with advanced features,3539.45,2528.18,"{""colors"": [""cb8901"", ""wh9001""], ""sizes"": [""L"", ""XS"", ""M""], ""weight"": ""19.9 lbs""}"
AB-RB-021,Road Bikes,Speedster Deluxe,Reliable road bikes for everyday use,924.85,660.61,"{""colors"": [""br7654"", ""gr5432"", ""bl4567"", ""ti2345""], ""sizes"": [""S"", ""M"", ""XL"", ""XS""], ""weight"": ""28.4 lbs""}"
AB-RB-022,Road Bikes,Velocity Classic,High-quality road bikes for serious cyclists,2408.35,1720.25,"{""colors"": [""gy6789"", ""cb8901""], ""sizes"": [""XS"", ""S"", ""M""], ""weight"": ""20.3 lbs""}"
AB-RB-023,Road Bikes,Swift Pro,Professional-grade road bikes with advanced features,1285.55,918.25,"{""colors"": [""ol4567"", ""sv3456"", ""fg3456"", ""gr5432"", ""cb8901""], ""sizes"": [""XL"", ""M"", ""L""], ""weight"": ""17.1 lbs""}"
AB-RB-024,Road Bikes,Aero Sport,Reliable road bikes for everyday use,1082.94,773.53,"{""colors"": [""gr5432"", ""br7654"", ""cb8901""], ""sizes"": [""M"", ""S"", ""XL""], ""weight"": ""27.7 lbs""}"
AB-RB-025,Road Bikes,Velocity Deluxe,High-quality road bikes for serious cyclists,2661.89,1901.35,"{""colors"": [""ti2345"", ""or8901""], ""sizes"": [""XS"", ""XL"", ""S"", ""L""], ""weight"": ""27.7 lbs""}"
AB-RB-026,Road Bikes,Velocity Elite,Lightweight road bikes for competitive riding,3166.83,2262.02,"{""colors"": [""wh9001"", ""br7654""], ""sizes"": [""XL"", ""XS"", ""S""], ""weight"": ""26.7 lbs""}"
AB-RB-027,Road Bikes,Aero Classic,Durable road bikes built for performance,1138.75,813.39,"{""colors"": [""br7654"", ""yl5678""], ""sizes"": [""S"", ""XS"", ""XL""], ""weight"": ""30.6 lbs""}"
AB-RB-028,Road Bikes,Lightning Deluxe,Professional-grade road bikes with advanced features,1534.74,1096.24,"{""colors"": [""cr4321"", ""br7654"", ""rd7298""], ""sizes"": [""XS"", ""S"", ""M"", ""L""], ""weight"": ""30.6 lbs""}"
